ts_utc,equity_usd,peak_equity_usd,drawdown_pct
2024-10-05T00:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T00:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T00:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T01:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T01:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T01:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T01:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T02:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T02:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T02:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T02:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T03:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T03:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T03:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T03:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T04:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T04:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T04:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T04:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T05:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T05:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T05:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T05:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T06:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T06:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T06:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T06:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T07:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T07:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T07:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T07:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T08:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T08:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T08:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T08:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T09:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T09:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T09:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T09:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T10:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T10:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T10:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T10:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T11:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T11:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T11:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T11:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T12:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T12:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T12:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T12:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T13:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T13:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T13:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T13:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T14:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T14:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T14:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T14:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T15:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T15:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T15:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T15:45:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T16:00:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T16:15:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T16:30:00+00:00,5000.000000,5000.000000,0.0000
2024-10-05T16:45:00+00:00,5000.000000,5000.000000,0.0000
